
C:\Users\fff\Documents\SportsMate>python Main.py


Are you sure you want to receive new ranking data? (y/n) n


--------------------------------------------------          National Basketball Association           --------------------------------------------------

33. [     Texas-Tyler Patriots     ] vs [ Texas Permian Basin Falcons  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

34. [Southeast Missouri State Redhawks] vs [ Arkansas Little Rock Trojans ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

35. [          Shaw Bears          ] vs [   Winston Salem State Rams   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

36. [     South Dakota Coyotes     ] vs [       Kansas City Roos       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.63) swap-False

37. [   Dallas Baptist Patriots    ] vs [      Angelo State Rams       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

38. [    Tarleton State Texans     ] vs [    Grand Canyon Antelopes    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.46) swap-False

39. [ Southern Miss Golden Eagles  ] vs [    South Alabama Jaguars     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

40. [ Northern Arizona Lumberjacks ] vs [  Eastern Washington Eagles   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.22) swap-False

41. [  Texas Arlington Mavericks   ] vs [  Southern Utah Thunderbirds  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.18) swap-False

42. [   Minnesota Golden Gophers   ] vs [     Ohio State Buckeyes      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.62) swap-False

43. [South Dakota State Jackrabbits] vs [       Denver Pioneers        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.22) swap-False

44. [   North Dakota State Bison   ] vs [      St. Thomas Tommies      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

45. [   Northern Colorado Bears    ] vs [        Idaho Vandals         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

46. [   Georgia Southern Eagles    ] vs [     Texas State Bobcats      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

47. [     Upper Iowa Peacocks      ] vs [         Quincy Hawks         ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

48. [Southwestern Oklahoma State Bulldogs] vs [  Arkansas Tech Wonder Boys   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

49. [       Lindenwood Lions       ] vs [      UT Martin Skyhawks      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.23) swap-False

50. [Western Illinois Leathernecks ] vs [      Morehead St Eagles      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

51. [ Alabama–Huntsville Chargers  ] vs [      Union TN Bulldogs       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

52. [    Rogers State Hillcats     ] vs [  Central Oklahoma Bronchos   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

