--------------------          National Basketball Association           --------------------

01. [        Indiana Pacers        ] vs [       Toronto Raptors        ] : Q1, QuarterTotal - o, QuarterML - o, Halftime - o(home@1.45) swap-False
41. [    Northern Iowa Panthers    ] vs [     Valparaiso Crusaders     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.05) swap-False

42. [     Texas State Bobcats      ] vs [  Louisiana Monroe Warhawks   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.44) swap-False

43. [       Kansas Jayhawks        ] vs [    Brigham Young Cougars     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.32) swap-False

44. [  Eastern Illinois Panthers   ] vs [   SIU Edwardsville Cougars   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

45. [   Florida State Seminoles    ] vs [North Carolina State Wolfpack ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

46. [        Iowa Hawkeyes         ] vs [   Penn State Nittany Lions   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.29) swap-False

47. [       Wyoming Cowboys        ] vs [      UNLV Runnin Rebels      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.42) swap-False

48. [    Texas Tech Red Raiders    ] vs [       Texas Longhorns        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.51) swap-False

49. [  Notre Dame Fighting Irish   ] vs [  Wake Forest Demon Deacons   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.34) swap-False

50. [     Arkansas Razorbacks      ] vs [    Vanderbilt Commodores     ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

51. [      Air Force Falcons       ] vs [     Boise State Broncos      ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.19) swap-False

52. [      Fresno St Bulldogs      ] vs [      Utah State Aggies       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(away@1.15) swap-False

53. [     Colorado State Rams      ] vs [       Nevada Wolf Pack       ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

54. [    San Diego State Aztecs    ] vs [   San Jose State Spartans    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - o(home@1.01) swap-False

